GEOID10,Type,A24,A5P,MH,SFA,SFD,GQ
13013180103,Metropolitan,0,225,0,0,0,0
13013180104,Metropolitan,0,0,0,0,0,0
13013180105,Metropolitan,0,105,0,0,0,0
13013180106,Metropolitan,0,0,0,0,0,0
13013180107,Metropolitan,0,0,0,0,0,0
13013180108,Metropolitan,0,141,0,0,0,0
13013180203,Metropolitan,0,1152,0,52,0,0
13013180204,Metropolitan,0,0,0,0,0,0
13013180205,Metropolitan,0,526,0,0,0,0
13013180206,Metropolitan,0,300,0,66,0,0
13013180301,Metropolitan,0,253,0,0,0,0
13013180302,Metropolitan,0,0,0,0,0,0
13013180303,Metropolitan,0,0,0,0,0,0
13013180401,Metropolitan,0,79,0,0,0,0
13013180402,Metropolitan,0,156,0,0,0,0
13013180501,Metropolitan,0,0,0,0,0,0
13013180502,Metropolitan,0,356,0,596,1441,0
13013180503,Metropolitan,0,2066,0,0,4102,0
13015960101,Metropolitan,0,396,0,0,413,0
13015960102,Metropolitan,0,2056,0,104,2440,0
13015960200,Metropolitan,0,9017,0,639,4483,0
13015960300,Metropolitan,0,4576,0,310,1151,0
13015960401,Metropolitan,0,921,0,0,0,0
13015960402,Metropolitan,0,1586,0,0,363,0
13015960500,Metropolitan,0,438,0,0,151,0
13015960600,Metropolitan,0,995,0,552,1067,0
13015960700,Metropolitan,0,808,0,796,490,0
13015960801,Metropolitan,0,736,0,0,225,0
13015960802,Metropolitan,0,0,0,0,0,0
13015960803,Metropolitan,0,1025,0,0,1534,0
13015960901,Metropolitan,0,339,0,0,0,0
13015960902,Metropolitan,0,565,0,0,177,0
13015961000,Metropolitan,0,772,156,0,232,0
13045910101,Metropolitan,0,809,0,0,3508,0
13045910103,Metropolitan,0,674,0,0,2096,0
13045910104,Metropolitan,0,993,0,285,2586,0
13045910200,Metropolitan,0,3187,0,0,4787,0
13045910300,Metropolitan,0,257,0,268,3677,0
13045910400,Metropolitan,0,3254,0,0,1497,0
13045910501,Metropolitan,0,968,0,0,995,0
13045910502,Metropolitan,0,563,0,0,1125,0
13045910600,Metropolitan,0,0,0,115,1473,0
13045910701,Metropolitan,0,3115,0,412,2011,0
13045910702,Metropolitan,0,962,0,0,489,0
13045910703,Metropolitan,0,2164,0,0,2160,0
13045910800,Metropolitan,0,82,0,167,1138,0
13045910900,Metropolitan,0,2924,0,0,3388,0
13045911000,Metropolitan,0,1228,0,0,1320,0
13045911100,Metropolitan,0,3294,0,295,4424,0
13045911200,Metropolitan,0,173,0,202,3683,0
13057090100,Metropolitan,0,1154,0,424,3313,0
13057090200,Metropolitan,0,3221,0,0,3771,0
13057090300,Metropolitan,0,7334,130,1050,7240,0
13057090400,Metropolitan,0,2268,0,0,1471,0
13057090501,Metropolitan,0,6902,0,56,3860,0
13057090502,Metropolitan,0,2701,0,79,3428,0
13057090601,Metropolitan,0,713,0,106,1768,0
13057090602,Metropolitan,0,638,0,0,2421,0
13057090701,Metropolitan,0,1703,0,1216,5388,0
13057090702,Metropolitan,0,2705,0,171,2047,0
13057090802,Metropolitan,0,115,0,0,1400,0
13057090803,Metropolitan,0,0,0,0,831,0
13057090804,Metropolitan,0,0,0,0,472,0
13057090901,Metropolitan,0,1111,0,238,1873,0
13057090902,Metropolitan,0,466,0,676,1889,0
13057090904,Metropolitan,0,1092,0,605,841,0
13057090905,Metropolitan,0,0,0,0,524,0
13057091001,Metropolitan,0,1872,0,125,1039,0
13057091003,Metropolitan,0,1375,0,508,136,0
13057091005,Metropolitan,0,2177,0,88,337,0
13057091006,Metropolitan,0,0,0,0,98,0
13057091007,Metropolitan,0,0,0,0,2267,0
13057091008,Metropolitan,0,0,0,0,1804,0
13057091101,Metropolitan,0,0,0,354,727,0
13057091102,Metropolitan,0,279,0,0,1305,0
13057091103,Metropolitan,0,504,0,0,1113,0
13063040202,Metropolitan,0,0,0,0,1134,0
13063040203,Metropolitan,0,0,0,0,1502,0
13063040204,Metropolitan,0,0,0,0,0,0
13063040302,Metropolitan,0,0,0,0,0,0
13063040303,Metropolitan,0,339,0,186,1101,0
13063040306,Metropolitan,0,80,0,0,192,0
13063040307,Metropolitan,0,619,0,0,192,0
13063040308,Metropolitan,0,733,0,0,1404,0
13063040407,Metropolitan,0,0,0,0,475,0
13063040408,Metropolitan,0,0,0,391,3697,0
13063040409,Metropolitan,0,0,0,0,2563,0
13063040410,Metropolitan,0,546,0,703,1266,0
13063040411,Metropolitan,0,615,0,454,457,0
13063040412,Metropolitan,0,0,0,0,2102,0
13063040413,Metropolitan,0,0,0,0,449,0
13063040414,Metropolitan,0,533,0,0,472,0
13063040415,Metropolitan,0,0,0,0,1544,0
13063040416,Metropolitan,0,0,0,363,2133,0
13063040417,Metropolitan,0,0,0,0,978,0
13063040509,Metropolitan,0,0,0,0,121,0
13063040510,Metropolitan,0,354,0,0,1137,0
13063040512,Metropolitan,0,0,0,180,1195,0
13063040513,Metropolitan,0,0,0,0,2721,0
13063040514,Metropolitan,0,0,0,0,986,0
13063040515,Metropolitan,0,438,0,0,1066,0
13063040516,Metropolitan,0,323,0,0,2196,0
13063040518,Metropolitan,0,0,0,88,964,0
13063040519,Metropolitan,0,0,0,0,0,0
13063040520,Metropolitan,0,0,0,333,1781,0
13063040521,Metropolitan,0,0,0,0,0,0
13063040522,Metropolitan,0,0,0,0,1066,0
13063040523,Metropolitan,0,0,0,0,0,0
13063040524,Metropolitan,0,369,0,297,2075,0
13063040525,Metropolitan,0,0,0,0,0,0
13063040526,Metropolitan,0,683,0,228,535,0
13063040606,Metropolitan,0,138,0,0,1317,0
13063040608,Metropolitan,0,0,0,0,1959,0
13063040609,Metropolitan,0,0,0,0,0,0
13063040611,Metropolitan,0,0,0,0,1068,0
13063040612,Metropolitan,0,229,0,0,2041,0
13063040613,Metropolitan,0,0,0,0,804,0
13063040614,Metropolitan,0,0,0,0,0,0
13063040615,Metropolitan,0,0,0,0,0,0
13063040616,Metropolitan,0,0,0,0,1418,0
13063040617,Metropolitan,0,0,0,0,0,0
13063040619,Metropolitan,0,0,0,0,0,0
13063040620,Metropolitan,0,0,0,0,427,0
13063040621,Metropolitan,0,0,0,0,518,0
13063040622,Metropolitan,0,0,0,0,0,0
13063980000,Metropolitan,0,0,0,0,674,0
13067030101,Metropolitan,0,0,0,114,1290,0
13067030103,Metropolitan,0,0,0,97,8873,0
13067030104,Metropolitan,0,98,0,0,121,0
13067030106,Metropolitan,0,0,0,0,467,0
13067030107,Metropolitan,0,0,0,0,0,0
13067030209,Metropolitan,0,275,0,0,1682,0
13067030214,Metropolitan,0,0,0,0,1517,0
13067030215,Metropolitan,0,503,0,0,0,0
13067030218,Metropolitan,0,69,0,0,1164,0
13067030219,Metropolitan,0,0,0,0,1603,0
13067030220,Metropolitan,0,0,0,365,1689,0
13067030222,Metropolitan,0,0,0,0,1340,0
13067030223,Metropolitan,0,198,0,0,856,0
13067030224,Metropolitan,0,0,0,0,0,0
13067030226,Metropolitan,0,1003,0,0,0,0
13067030227,Metropolitan,0,772,0,0,1132,0
13067030228,Metropolitan,0,138,0,0,3304,0
13067030229,Metropolitan,0,888,0,248,3508,0
13067030230,Metropolitan,0,657,0,0,2258,0
13067030231,Metropolitan,0,171,0,238,7137,0
13067030232,Metropolitan,0,0,0,0,1137,0
13067030233,Metropolitan,0,0,0,173,1379,0
13067030234,Metropolitan,0,0,0,0,2625,0
13067030235,Metropolitan,0,0,0,228,1931,0
13067030236,Metropolitan,0,0,0,0,955,0
13067030238,Metropolitan,0,0,0,0,950,0
13067030239,Metropolitan,0,249,0,457,2897,0
13067030310,Metropolitan,0,0,0,375,732,0
13067030311,Metropolitan,0,0,0,0,0,0
13067030312,Metropolitan,0,746,0,0,978,0
13067030313,Metropolitan,0,0,0,0,2203,0
13067030314,Metropolitan,0,386,0,0,1034,0
13067030318,Metropolitan,0,0,0,0,1725,0
13067030319,Metropolitan,0,0,0,0,0,0
13067030320,Metropolitan,0,0,0,0,271,0
13067030322,Metropolitan,0,0,0,0,122,0
13067030324,Metropolitan,0,0,0,0,0,0
13067030326,Metropolitan,0,0,0,0,0,0
13067030327,Metropolitan,0,0,0,0,0,0
13067030328,Metropolitan,0,0,0,176,653,0
13067030329,Metropolitan,0,0,0,0,176,0
13067030330,Metropolitan,0,1872,0,0,2033,0
13067030331,Metropolitan,0,0,0,191,0,0
13067030332,Metropolitan,0,0,0,0,0,0
13067030333,Metropolitan,0,0,0,0,637,0
13067030334,Metropolitan,0,0,0,0,299,0
13067030335,Metropolitan,0,0,0,0,891,0
13067030336,Metropolitan,0,0,0,351,226,0
13067030337,Metropolitan,0,0,0,0,120,0
13067030339,Metropolitan,0,0,0,0,884,0
13067030340,Metropolitan,0,0,0,0,311,0
13067030341,Metropolitan,0,0,0,0,0,0
13067030342,Metropolitan,0,0,0,0,0,0
13067030343,Metropolitan,0,0,0,0,269,0
13067030344,Metropolitan,0,0,0,0,62,0
13067030345,Metropolitan,0,0,0,0,117,0
13067030405,Metropolitan,0,0,0,0,329,0
13067030407,Metropolitan,0,0,0,0,0,0
13067030408,Metropolitan,0,0,0,125,0,0
13067030409,Metropolitan,0,0,0,0,0,0
13067030410,Metropolitan,0,0,0,0,294,0
13067030411,Metropolitan,0,0,0,354,1369,0
13067030412,Metropolitan,0,0,0,0,1622,0
13067030413,Metropolitan,0,503,0,0,982,0
13067030414,Metropolitan,0,525,0,156,617,0
13067030502,Metropolitan,0,576,0,0,1520,0
13067030504,Metropolitan,0,137,0,130,2490,0
13067030505,Metropolitan,0,0,0,354,921,0
13067030506,Metropolitan,0,709,0,0,217,0
13067030507,Metropolitan,0,0,0,0,0,0
13067030601,Metropolitan,0,1830,0,339,1355,0
13067030602,Metropolitan,0,0,0,0,0,0
13067030700,Metropolitan,0,0,0,0,934,0
13067030800,Metropolitan,0,1493,175,207,3204,0
13067030901,Metropolitan,0,114,0,0,61,0
13067030902,Metropolitan,0,0,0,0,325,0
13067030904,Metropolitan,0,0,0,0,0,0
13067030905,Metropolitan,0,0,0,107,1536,0
13067031001,Metropolitan,0,0,0,0,825,0
13067031002,Metropolitan,0,0,0,0,641,0
13067031004,Metropolitan,0,1923,0,312,1947,0
13067031005,Metropolitan,0,238,0,0,576,0
13067031101,Metropolitan,0,443,0,0,378,0
13067031106,Metropolitan,0,558,0,488,7259,0
13067031108,Metropolitan,0,0,0,0,0,0
13067031110,Metropolitan,0,518,0,0,1258,0
13067031111,Metropolitan,0,0,0,0,751,0
13067031112,Metropolitan,0,692,0,0,527,0
13067031113,Metropolitan,0,539,0,442,3792,0
13067031114,Metropolitan,0,1033,0,0,2522,0
13067031115,Metropolitan,0,606,0,0,0,0
13067031116,Metropolitan,0,0,0,0,1469,0
13067031117,Metropolitan,0,725,0,0,3220,0
13067031118,Metropolitan,0,0,0,0,4173,0
13067031205,Metropolitan,0,1166,0,662,6713,0
13067031206,Metropolitan,0,1038,0,556,2654,0
13067031207,Metropolitan,0,1421,0,0,5781,0
13067031208,Metropolitan,0,663,0,188,1209,0
13067031209,Metropolitan,0,270,0,0,2805,0
13067031211,Metropolitan,0,0,0,0,2233,0
13067031212,Metropolitan,0,1086,0,333,3370,0
13067031306,Metropolitan,0,297,0,0,1787,0
13067031307,Metropolitan,0,590,0,77,4706,0
13067031308,Metropolitan,0,0,0,0,0,0
13067031309,Metropolitan,0,0,0,0,386,0
13067031310,Metropolitan,0,259,0,155,480,0
13067031311,Metropolitan,0,418,0,245,906,0
13067031312,Metropolitan,0,1564,0,204,3807,0
13067031313,Metropolitan,0,1016,0,0,576,0
13067031404,Metropolitan,0,2481,0,0,1749,0
13067031405,Metropolitan,0,3601,0,0,5922,0
13067031406,Metropolitan,0,3805,0,599,4101,0
13067031408,Metropolitan,0,3360,0,255,9452,0
13067031409,Metropolitan,0,834,0,198,9368,0
13067031503,Metropolitan,0,250,0,0,957,0
13067031505,Metropolitan,0,0,0,77,2199,0
13067031506,Metropolitan,0,709,0,550,5406,0
13067031507,Metropolitan,0,1175,0,0,206,0
13067031508,Metropolitan,0,0,0,190,2159,0
13067031509,Metropolitan,0,2792,0,414,1401,0
13077170100,Metropolitan,0,2035,0,457,6863,0
13077170200,Metropolitan,0,2943,0,437,2999,0
13077170303,Metropolitan,0,194,0,0,4302,0
13077170304,Metropolitan,0,1403,0,438,1792,0
13077170305,Metropolitan,0,362,0,233,1028,0
13077170306,Metropolitan,0,0,0,0,877,0
13077170402,Metropolitan,0,2141,0,77,1566,0
13077170403,Metropolitan,0,1681,0,0,1637,0
13077170404,Metropolitan,0,0,0,0,356,0
13077170405,Metropolitan,0,854,0,206,2604,0
13077170406,Metropolitan,0,842,0,303,435,0
13077170501,Metropolitan,0,0,0,0,2051,0
13077170502,Metropolitan,0,280,0,0,1381,0
13077170503,Metropolitan,0,266,0,0,278,0
13077170601,Metropolitan,0,643,0,257,6204,0
13077170602,Metropolitan,0,0,0,0,0,0
13077170603,Metropolitan,0,2711,0,493,3482,0
13077170700,Metropolitan,0,369,0,141,4527,0
13077170801,Metropolitan,0,0,0,297,3199,0
13077170802,Metropolitan,0,1521,0,280,1521,0
13089020100,Metropolitan,0,0,0,0,1252,0
13089020200,Metropolitan,0,1470,0,0,0,0
13089020300,Metropolitan,0,482,0,0,858,0
13089020400,Metropolitan,0,0,0,0,3444,0
13089020500,Metropolitan,0,686,0,0,606,0
13089020600,Metropolitan,0,485,0,972,2452,0
13089020700,Metropolitan,0,0,0,0,340,0
13089020801,Metropolitan,0,0,0,264,943,0
13089020802,Metropolitan,0,0,0,0,2364,0
13089020900,Metropolitan,0,586,0,0,676,0
13089021101,Metropolitan,0,0,0,335,906,0
13089021102,Metropolitan,0,0,0,0,130,0
13089021202,Metropolitan,0,1323,0,146,3634,0
13089021204,Metropolitan,0,0,0,0,799,0
13089021208,Metropolitan,0,1107,0,0,2720,0
13089021209,Metropolitan,0,0,0,92,3439,0
13089021210,Metropolitan,0,0,0,0,2482,0
13089021211,Metropolitan,0,278,0,0,345,0
13089021213,Metropolitan,0,129,0,155,807,0
13089021214,Metropolitan,0,0,0,0,975,0
13089021215,Metropolitan,0,882,0,988,2786,0
13089021216,Metropolitan,0,998,0,192,1521,0
13089021217,Metropolitan,0,0,0,0,2215,0
13089021218,Metropolitan,0,0,0,0,636,0
13089021301,Metropolitan,0,852,0,535,4509,0
13089021303,Metropolitan,0,1298,0,0,3108,0
13089021305,Metropolitan,0,0,0,0,0,0
13089021306,Metropolitan,0,0,0,0,0,0
13089021307,Metropolitan,0,0,0,257,687,0
13089021308,Metropolitan,0,0,0,0,1918,0
13089021405,Metropolitan,0,301,0,0,2758,0
13089021409,Metropolitan,0,0,0,0,0,0
13089021410,Metropolitan,0,0,0,162,4101,0
13089021411,Metropolitan,0,793,0,571,2010,0
13089021412,Metropolitan,0,0,0,0,2201,0
13089021413,Metropolitan,0,0,0,0,0,0
13089021414,Metropolitan,0,624,0,153,765,0
13089021415,Metropolitan,0,382,0,0,194,0
13089021416,Metropolitan,0,0,0,0,0,0
13089021417,Metropolitan,0,834,0,0,2555,0
13089021502,Metropolitan,0,0,0,0,1341,0
13089021503,Metropolitan,0,0,0,0,0,0
13089021504,Metropolitan,0,0,0,357,1625,0
13089021602,Metropolitan,0,285,0,0,777,0
13089021603,Metropolitan,0,1277,0,0,2578,0
13089021604,Metropolitan,0,386,0,148,2162,0
13089021605,Metropolitan,0,623,0,0,1292,0
13089021703,Metropolitan,0,0,0,0,2822,0
13089021704,Metropolitan,0,0,0,0,1636,0
13089021705,Metropolitan,0,291,0,145,1668,0
13089021706,Metropolitan,0,690,0,628,3522,0
13089021805,Metropolitan,0,0,0,0,1018,0
13089021806,Metropolitan,0,0,0,330,1217,0
13089021808,Metropolitan,0,0,0,0,0,0
13089021809,Metropolitan,0,350,0,0,551,0
13089021810,Metropolitan,0,0,0,0,0,0
13089021812,Metropolitan,0,0,0,0,0,0
13089021813,Metropolitan,0,0,0,0,0,0
13089021814,Metropolitan,0,0,0,84,0,0
13089021906,Metropolitan,0,0,0,0,0,0
13089021907,Metropolitan,0,0,0,0,274,0
13089021908,Metropolitan,0,0,0,0,0,0
13089021909,Metropolitan,0,0,0,0,1759,0
13089021910,Metropolitan,0,260,0,0,2439,0
13089021911,Metropolitan,0,0,0,0,0,0
13089021912,Metropolitan,0,0,0,0,314,0
13089021913,Metropolitan,0,0,0,179,1841,0
13089022001,Metropolitan,0,0,0,185,2917,0
13089022004,Metropolitan,0,0,0,0,3552,0
13089022005,Metropolitan,0,437,0,151,2526,0
13089022007,Metropolitan,0,0,0,0,0,0
13089022008,Metropolitan,0,0,353,0,762,0
13089022009,Metropolitan,0,0,0,0,0,0
13089022010,Metropolitan,0,0,0,0,3287,0
13089022100,Metropolitan,0,0,0,179,857,0
13089022203,Metropolitan,0,253,0,480,599,0
13089022204,Metropolitan,0,145,0,126,480,0
13089022301,Metropolitan,0,0,0,368,6404,0
13089022302,Metropolitan,0,0,0,0,2401,0
13089022401,Metropolitan,0,0,0,0,3191,0
13089022402,Metropolitan,0,259,0,0,7797,0
13089022403,Metropolitan,0,0,0,0,3106,0
13089022500,Metropolitan,0,0,0,0,5334,0
13089022600,Metropolitan,0,0,0,0,7226,0
13089022700,Metropolitan,0,0,0,526,3600,0
13089022800,Metropolitan,0,579,0,414,0,0
13089022900,Metropolitan,0,0,0,0,365,0
13089023000,Metropolitan,0,0,0,0,956,0
13089023101,Metropolitan,0,0,0,0,970,0
13089023102,Metropolitan,0,0,0,0,254,0
13089023107,Metropolitan,0,209,0,357,1113,0
13089023108,Metropolitan,0,0,0,0,1437,0
13089023111,Metropolitan,0,0,0,0,980,0
13089023112,Metropolitan,0,320,0,0,1617,0
13089023113,Metropolitan,0,0,0,0,0,0
13089023114,Metropolitan,0,0,0,0,1938,0
13089023115,Metropolitan,0,0,0,0,532,0
13089023204,Metropolitan,0,0,0,135,1545,0
13089023206,Metropolitan,0,0,0,0,3636,0
13089023208,Metropolitan,0,0,0,97,414,0
13089023209,Metropolitan,0,346,0,131,2144,0
13089023210,Metropolitan,0,1329,0,108,1072,0
13089023211,Metropolitan,0,0,0,225,1888,0
13089023212,Metropolitan,0,0,0,0,2292,0
13089023213,Metropolitan,0,0,0,0,915,0
13089023214,Metropolitan,0,0,0,0,903,0
13089023303,Metropolitan,0,0,0,0,4668,0
13089023306,Metropolitan,0,0,0,0,5559,0
13089023309,Metropolitan,0,0,0,0,1381,0
13089023310,Metropolitan,0,0,0,0,847,0
13089023311,Metropolitan,0,0,0,320,1539,0
13089023312,Metropolitan,0,0,0,0,2654,0
13089023313,Metropolitan,0,0,0,254,1811,0
13089023314,Metropolitan,0,0,0,0,1824,0
13089023315,Metropolitan,0,0,0,0,4226,0
13089023316,Metropolitan,0,0,0,0,0,0
13089023410,Metropolitan,0,0,0,0,1895,0
13089023411,Metropolitan,0,0,0,0,389,0
13089023412,Metropolitan,0,0,0,0,1398,0
13089023413,Metropolitan,0,0,0,0,1351,0
13089023414,Metropolitan,0,0,0,0,726,0
13089023416,Metropolitan,0,0,0,0,2059,0
13089023418,Metropolitan,0,444,0,0,6357,0
13089023419,Metropolitan,0,982,0,0,0,0
13089023421,Metropolitan,0,0,0,0,0,0
13089023422,Metropolitan,0,0,0,0,0,0
13089023423,Metropolitan,0,0,0,0,0,0
13089023424,Metropolitan,0,0,0,0,0,0
13089023425,Metropolitan,0,654,0,0,0,0
13089023426,Metropolitan,0,0,0,0,0,0
13089023427,Metropolitan,0,0,0,0,0,0
13089023428,Metropolitan,0,1725,0,445,1051,0
13089023501,Metropolitan,0,841,0,0,432,0
13089023504,Metropolitan,0,0,0,0,750,0
13089023505,Metropolitan,0,0,0,0,1365,0
13089023506,Metropolitan,0,0,0,0,52,0
13089023507,Metropolitan,0,723,0,456,2679,0
13089023601,Metropolitan,0,163,0,93,946,0
13089023602,Metropolitan,0,947,0,0,0,0
13089023603,Metropolitan,0,0,0,0,0,0
13089023700,Metropolitan,0,397,0,0,472,0
13089023801,Metropolitan,0,126,0,110,0,0
13089023802,Metropolitan,0,320,0,0,277,0
13089023803,Metropolitan,0,769,0,0,0,0
13089980000,Metropolitan,0,0,0,0,0,0
13097080102,Metropolitan,0,699,0,330,2023,0
13097080103,Metropolitan,0,0,0,0,1396,0
13097080201,Metropolitan,0,0,0,0,307,0
13097080202,Metropolitan,0,0,0,0,269,0
13097080301,Metropolitan,0,0,0,0,0,0
13097080303,Metropolitan,0,0,0,148,2337,0
13097080304,Metropolitan,0,121,0,266,1033,0
13097080402,Metropolitan,0,462,0,0,115,0
13097080403,Metropolitan,0,0,0,0,0,0
13097080404,Metropolitan,0,473,0,142,619,0
13097080505,Metropolitan,0,274,0,0,0,0
13097080506,Metropolitan,0,0,0,269,364,0
13097080507,Metropolitan,0,0,0,0,1777,0
13097080508,Metropolitan,0,0,0,0,404,0
13097080509,Metropolitan,0,0,0,0,0,0
13097080510,Metropolitan,0,0,0,0,0,0
13097080511,Metropolitan,0,784,0,0,475,0
13097080602,Metropolitan,0,0,0,0,123,0
13097080603,Metropolitan,0,0,0,0,148,0
13097080604,Metropolitan,0,727,0,0,0,0
13113140101,Metropolitan,0,3268,387,122,3577,0
13113140102,Metropolitan,0,2168,0,295,3172,0
13113140203,Metropolitan,0,1252,195,0,2026,0
13113140204,Metropolitan,0,496,0,0,2435,0
13113140206,Metropolitan,0,0,145,401,527,0
13113140207,Metropolitan,0,0,0,0,116,0
13113140208,Metropolitan,0,1172,0,307,2210,0
13113140303,Metropolitan,0,603,0,750,1828,0
13113140304,Metropolitan,0,0,0,0,736,0
13113140305,Metropolitan,0,0,0,0,2550,0
13113140306,Metropolitan,0,0,0,75,1730,0
13113140307,Metropolitan,0,1895,0,1541,4475,0
13113140403,Metropolitan,0,3878,0,103,0,0
13113140404,Metropolitan,0,503,0,0,447,0
13113140405,Metropolitan,0,887,0,0,2600,0
13113140406,Metropolitan,0,1425,0,1031,1864,0
13113140407,Metropolitan,0,75,0,0,170,0
13113140408,Metropolitan,0,1185,0,756,530,0
13113140501,Metropolitan,0,2960,0,0,879,0
13113140502,Metropolitan,0,1592,0,122,824,0
13117130101,Metropolitan,0,0,0,179,778,0
13117130102,Metropolitan,0,0,0,0,0,0
13117130103,Metropolitan,0,830,0,0,0,0
13117130104,Metropolitan,0,0,0,198,703,0
13117130105,Metropolitan,0,0,0,0,3369,0
13117130201,Metropolitan,0,401,0,0,1569,0
13117130202,Metropolitan,0,0,0,0,295,0
13117130203,Metropolitan,0,0,0,0,0,0
13117130204,Metropolitan,0,0,0,0,753,0
13117130205,Metropolitan,0,0,116,201,469,0
13117130301,Metropolitan,0,142,0,397,2211,0
13117130302,Metropolitan,0,0,0,0,442,0
13117130303,Metropolitan,0,0,0,0,1482,0
13117130304,Metropolitan,0,0,0,0,0,0
13117130305,Metropolitan,0,0,0,203,482,0
13117130306,Metropolitan,0,334,0,240,2629,0
13117130307,Metropolitan,0,215,0,0,799,0
13117130403,Metropolitan,0,209,0,115,1360,0
13117130404,Metropolitan,0,0,0,0,0,0
13117130405,Metropolitan,0,0,195,0,135,0
13117130406,Metropolitan,0,938,0,634,1396,0
13117130408,Metropolitan,0,0,0,0,0,0
13117130409,Metropolitan,0,0,0,0,320,0
13117130410,Metropolitan,0,0,0,0,159,0
